intent,text,response
vatandaslik_basvurusu,Türk Vatandaşlığını Kazanan Yabancının Önceki Vatandaşlığı Ne Olur? ,"Türk vatandaşlığını kazanan yabancı, prensip olarak önceki vatandaşlığını muhafaza edebilir. Türk hukuku, çifte vatandaşlığa izin vermektedir. Ancak, bazı ülkelerin kendi kanunları, vatandaşlarının başka bir vatandaşlık kazanması durumunda önceki vatandaşlıklarının otomatik olarak kaybedileceğini öngörebilir. Bu durum, yabancının kendi ülkesinin mevzuatına bağlıdır.
Kaynak: 5901 sayılı Türk Vatandaşlığı Kanunu (TVK) m. 44.
"
sahte_urun,Sahte Ürün Satmak Hangi Suçları Oluşturur? ,"Sahte ürün satmak, Türk Ceza Kanunu (TCK) ve Sınai Mülkiyet Kanunu (SMK) kapsamında çeşitli suçları oluşturabilir:
Marka Hakkına Tecavüz Suçu: En yaygın olanıdır. Başkasına ait marka hakkına tecavüz ederek mal üretmek, satmak, ithal veya ihraç etmek suç teşkil eder. Cezası, 1 yıldan 3 yıla kadar hapis ve yirmi bin güne kadar adli para cezasıdır.
Dolandırıcılık Suçu: Sahte ürünün orijinalmiş gibi sunularak tüketicinin aldatılması durumunda TCK kapsamında dolandırıcılık suçu oluşabilir.
Tüketicinin Korunması Kanunu İhlali: Tüketiciye ayıplı mal satışı veya yanıltıcı tanıtım gibi durumlar, 6502 sayılı Tüketicinin Korunması Hakkında Kanun kapsamında idari yaptırımlara ve tazminat sorumluluğuna yol açabilir.
Kaynak: 6769 sayılı Sınai Mülkiyet Kanunu m. 30 (Marka Hakkına Tecavüz Suçu) ve 5237 sayılı Türk Ceza Kanunu m. 157 (Dolandırıcılık).
"
sahte_urun,Sahte Ürün Alan Tüketicinin Hakları Nelerdir? ,"Sahte ürün aldığını fark eden tüketicinin, 6502 sayılı Tüketicinin Korunması Hakkında Kanun kapsamında ayıplı maldan doğan seçimlik hakları vardır:
Sözleşmeden dönerek ödediği bedelin tamamını geri alma.
Ayıp oranında satış bedelinden indirim isteme.
Ücretsiz onarım isteme (pratikte sahte ürün için uygulanamaz).
Mümkünse, ürünün ayıpsız misliyle değiştirilmesini isteme.
Ayrıca, tüketici uğradığı maddi ve manevi zararlar için tazminat davası da açabilir.
Kaynak: 6502 sayılı Tüketicinin Korunması Hakkında Kanun m. 11.
"
sahte_urun,Sahte Ürünlerle Mücadelede Marka Sahibinin Hukuki Yolları Nelerdir? ,"Marka sahibi, sahte ürünlerle mücadele etmek için çeşitli hukuki yollara başvurabilir:
Tespit Davası: Sahtecilik fiilinin tespitini isteme.
Men Davası: Sahtecilik fiilinin durdurulmasını ve önlenmesini isteme.
Tazminat Davası: Uğradığı maddi ve manevi zararların tazminini isteme.
Ceza Davası: Sahtecilik yapanlar hakkında Türk Ceza Kanunu ve Sınai Mülkiyet Kanunu kapsamında şikayette bulunma.
El Koyma ve İmha Talebi: Sahte ürünlere el konulmasını ve imha edilmesini talep etme.
Kaynak: 6769 sayılı Sınai Mülkiyet Kanunu m. 150-151 ve m. 30.
"
sahte_urun,İnternet Üzerinden Sahte Ürün Satanlara Karşı Ne Yapılabilir? ,"İnternet üzerinden sahte ürün satanlara karşı hem hukuki hem de teknik yollarla mücadele edilebilir:
Şikayet: E-ticaret platformlarına, sosyal medya şirketlerine veya ilgili denetim otoritelerine (Ticaret Bakanlığı gibi) şikayette bulunulabilir.
Tespit ve Delil Toplama: Sahte ürünün satıldığı ilanların ekran görüntüleri, iletişim bilgileri ve ödeme dekontları gibi deliller toplanır.
Hukuki Süreç: Cumhuriyet Savcılığına suç duyurusunda bulunularak ceza soruşturması başlatılabilir veya hukuk mahkemelerinde tespit ve tazminat davaları açılabilir.
Erişimin Engellenmesi: Sahte ürün satan web siteleri veya sosyal medya hesaplarının erişiminin engellenmesi için mahkemeye başvurulabilir.
Kaynak: 5651 sayılı İnternet Ortamında Yapılan Yayınların Düzenlenmesi ve Bu Yayınlar Yoluyla İşlenen Suçlarla Mücadele Edilmesi Hakkında Kanun ve 6769 sayılı Sınai Mülkiyet Kanunu.
"
sahte_urun,Sahte Ürün İthalatı ve İhracatı Hukuken Nasıl Değerlendirilir? ,"Sahte ürünlerin ithalatı ve ihracatı da marka hakkına tecavüz suçu kapsamında değerlendirilir ve cezai yaptırımlara tabidir. Gümrüklerde yapılan kontrollerde sahte olduğu tespit edilen ürünlere el konulur ve bu ürünler hakkında yasal işlem başlatılır. İthalat ve ihracat yoluyla yapılan sahtecilik, genellikle daha büyük ölçekli olduğundan cezaları da daha ağır olabilir.
Kaynak: 6769 sayılı Sınai Mülkiyet Kanunu m. 30 ve Gümrük Kanunu ilgili maddeleri.
"
sahte_urun,"Tüketici, Sahte Ürün Aldığını Nasıl Anlayabilir ve Ne Yapmalıdır? ","Tüketici, sahte ürün aldığından şüpheleniyorsa şunlara dikkat edebilir:
Fiyat: Orijinal ürünün piyasa fiyatının çok altında olması.
Ambalaj ve Kalite: Ambalajın kalitesizliği, baskı hataları, kullanılan malzemenin düşüklüğü.
Logo ve Yazım Hataları: Marka logosunda veya ürün üzerindeki yazılarda hatalar veya farklılıklar.
Satıcının Güvenilirliği: Güvenilir olmayan platformlardan veya şüpheli satıcılardan alışveriş yapmaktan kaçınılması.
Sahte ürün aldığını anlayan tüketici, öncelikle ürünü aldığı yere başvurarak iade veya değişim talep etmeli, sonuç alamazsa Tüketici Hakem Heyetleri'ne veya Tüketici Mahkemeleri'ne başvurmalıdır. Ayrıca, gerekli delillerle (ürün, fatura, iletişim bilgileri) birlikte ilgili markanın yetkililerine veya savcılığa suç duyurusunda bulunabilir.
Kaynak: 6502 sayılı Tüketicinin Korunması Hakkında Kanun.
"
isim_degistirme,İsmimi mahkeme kararıyla değiştirebilir miyim? ,"Evet, isminizi mahkeme kararıyla değiştirebilirsiniz. Türk Medeni Kanunu'nun 27. maddesi, haklı sebeplerin varlığı hâlinde kişinin ismini değiştirmesine izin verir. İsim değişikliği talepleri, genellikle kişinin mevcut isminden rahatsız olması, isminin gülünç, utanç verici veya alay konusu olması, telaffuzunun zor olması, yanlış yazılmış olması gibi nedenlere dayanır. Mahkeme, bu tür bir talebin haklı bir nedene dayanıp dayanmadığını değerlendirir. "
isim_degistirme,İsim değişikliği için gerekli şartlar nelerdir? ,"İsim değişikliği için en temel şart, haklı bir sebebin bulunmasıdır. Bu haklı sebep, somut olay bazında mahkemece değerlendirilir. Örneğin:
Gülünç veya utanç verici olması: Kişinin isminin toplum içinde alay konusu olması veya kişinin kendisinde utanç duygusu yaratması.
Yanlış yazım veya telaffuz zorluğu: Nüfus kaydında veya yaygın kullanımda ismin hatalı yazılması ya da telaffuzunun sürekli sorun yaratması.
Kişisel rahatsızlık: Kişinin kendi ismini benimseyememesi ve psikolojik olarak rahatsızlık duyması.
Farklı bir isimle tanınma: Kişinin uzun süredir resmi kayıtlardaki isminden farklı bir isimle tanınıyor olması.
İsim değişikliği davası, kişinin yerleşim yerindeki Asliye Hukuk Mahkemesi'nde açılır ve mahkeme haklı sebebi inceleyerek karar verir.
"
isim_degistirme,Evlenince soyadımı tamamen değiştirebilir miyim? ,"Evlenince soyadınızı tamamen değiştirmekten kasıt, eşinizin soyadını almaksa, evet bu mümkündür. Türk Medeni Kanunu'na göre, kadın evlenmekle kocasının soyadını alır. Ancak, 2014 yılında yapılan düzenlemeyle kadınlar, evlenirken kocasının soyadının önünde kendi soyadını da kullanma hakkına sahip olmuştur. Yani ""kendi soyadı + eşinin soyadı"" şeklinde bir kullanım tercih edilebilir.
Eşinizin soyadını almadan kendi kızlık soyadınızı tek başına kullanmak isterseniz, evlilik sırasında bunu beyan ederek evlilik birliği devam ettiği sürece sadece kendi soyadınızı kullanma hakkına sahipsiniz. Bunun için evlenme başvurusunda bu yönde bir talepte bulunmanız yeterlidir. Daha önce eşinin soyadını almış bir kadın da evlilik birliği devam ederken sonradan dava açarak yalnızca kendi soyadını kullanma hakkını talep edebilir.
"
isim_degistirme,İsim değiştirme süreci nasıl işler? ,"İsim değiştirme süreci genellikle şu adımları içerir:
Dilekçe Hazırlama: İsim değiştirmek isteyen kişi veya avukatı tarafından, haklı nedenlerini açıklayan ve talep edilen yeni ismi belirten bir dilekçe hazırlanır.
Dava Açma: Dilekçe, kişinin yerleşim yerindeki Asliye Hukuk Mahkemesi'ne sunularak dava açılır.
Duruşma Süreci: Mahkeme, dilekçeyi inceledikten sonra duruşma günü belirler. Duruşmada, davacının haklı sebepleri dinlenir ve varsa sunulan deliller (tanık beyanları gibi) değerlendirilir. Mahkeme, gerektiğinde araştırma yapabilir.
Karar: Mahkeme, haklı sebebin varlığına kanaat getirirse, isim değişikliği talebini kabul eden bir karar verir.
Nüfus Kaydına İşleme: Mahkeme kararı kesinleştikten sonra (yasal itiraz süreleri geçtikten sonra), mahkeme bu kararı ilgili Nüfus Müdürlüğü'ne gönderir. Nüfus Müdürlüğü, kişinin nüfus kaydındaki ismini mahkeme kararına uygun olarak değiştirir.
Belge Güncellemeleri: Kişi, nüfus kaydındaki değişiklikten sonra kimlik kartı, pasaport, sürücü belgesi gibi tüm resmi belgelerini yeni ismine göre güncellemek zorundadır.
Bu süreç, davanın yoğunluğuna ve mahkemenin iş yüküne göre değişmekle birlikte genellikle birkaç ay sürebilir.
"
nafaka,Boşanırken nafaka talep edebilir miyim? ,"Evet, boşanırken nafaka talep edebilirsiniz. Türk Medeni Kanunu (TMK), boşanma davası sırasında veya boşanma kararının kesinleşmesinden sonra belirli şartlar altında nafaka talebine imkan tanır. Talep edilebilecek başlıca nafaka türleri şunlardır:
Tedbir Nafakası: Boşanma davası devam ederken, eşlerden birinin ve/veya ortak çocukların geçimini sağlamak amacıyla mahkemece hükmedilen geçici nafakadır. Dava sonuçlanana kadar devam eder.
Yoksulluk Nafakası: Boşanma yüzünden yoksulluğa düşecek olan tarafa, kusuru diğer taraftan daha ağır olmamak koşuluyla, diğer tarafın mali gücü oranında ödenen nafakadır.
İştirak Nafakası: Ortak çocuğun velayeti kendisinde bulunmayan eşin, çocuğun eğitim, bakım ve diğer giderlerine katılmak amacıyla ödediği nafakadır.
"
nafaka,Erkek nafaka ödemek zorunda mı? ,"Erkeğin nafaka ödeme zorunluluğu, cinsiyetinden değil, kanunda belirtilen şartların varlığından kaynaklanır. Nafaka yükümlülüğü, boşanma sonrası yoksulluğa düşecek olan tarafa (kadın ya da erkek fark etmeksizin) veya ortak çocuğun ihtiyaçlarına göre belirlenir. Yani, eğer boşanma sonucunda erkek taraf yoksulluğa düşecekse ve kadın tarafın mali gücü elverişliyse, kadın da erkeğe yoksulluk nafakası ödemekle yükümlü olabilir. Ancak uygulamada, ekonomik ve sosyal koşullar nedeniyle genellikle erkeğin nafaka ödeme yükümlülüğü daha sık görülmektedir. İştirak nafakası ise velayet kimde değilse o ebeveyn tarafından ödenir.

"
nafaka,Nafaka ne kadar sürer? ,"Nafaka türüne göre süresi değişiklik gösterir:
Tedbir Nafakası: Boşanma davası devam ettiği sürece ödenir. Boşanma kararının kesinleşmesiyle sona erer veya Yoksulluk/İştirak nafakasına dönüşür.
Yoksulluk Nafakası: Kural olarak süresiz olarak hükmedilir. Ancak, Türk Medeni Kanunu'nun 176/3 maddesine göre nafaka alan tarafın yeniden evlenmesi, fiilen evli gibi yaşaması, yoksulluğunun ortadan kalkması veya ölümü gibi durumlarda sona erer. Bazı durumlarda hakim, belirli bir süreyle (süreli yoksulluk nafakası) de hükmedebilir.
İştirak Nafakası: Ortak çocuk ergin (18 yaşını doldurmuş) olana kadar devam eder. Çocuk ergin olduktan sonra da eğitimine devam ediyorsa, talep üzerine ""eğitim nafakası"" olarak devam edebilir.
"
nafaka,Nafaka miktarı nasıl belirlenir? ,"Nafaka miktarı, hakim tarafından hakkaniyet ve tarafların somut durumları göz önünde bulundurularak belirlenir. Belirlemede etkili olan başlıca faktörler şunlardır:
Tarafların Mali Durumları: Hem nafaka talep edenin hem de nafaka ödeyecek olanın gelirleri, malvarlıkları, borçları ve geçim standartları.
Nafaka Talep Edenin İhtiyaçları: Yoksulluk nafakası için kişinin boşanma öncesindeki yaşam standardını sürdürme ihtiyacı.
Çocuğun İhtiyaçları: İştirak nafakası için çocuğun yaş, eğitim, sağlık, barınma, giyim gibi temel ve özel giderleri.
Tarafların Kusur Oranları: Yoksulluk nafakasında, nafaka talep edenin kusurunun diğer taraftan daha ağır olmaması gerekir.
Sosyal ve Ekonomik Koşullar: Ülkenin genel ekonomik durumu ve enflasyon oranları da dolaylı olarak etki edebilir.
Mahkeme, bu faktörleri değerlendirerek tarafların lehine ve aleyhine olan tüm hususları dikkate alarak hakkaniyetli bir karar verir.
"
isten_cikarma,İşten haksız yere çıkarıldım ne yapmalıyım? ,"İşten haksız yere çıkarıldığınızı düşünüyorsanız, öncelikle şu adımları izlemelisiniz:
Fesih Bildirimini İnceleyin: İşveren size işten çıkarılma nedenini yazılı ve açıkça bildirmek zorundadır (İş Kanunu m. 19). Bu bildirimdeki gerekçeleri dikkatlice okuyun.
Delil Toplayın: İşten çıkarılmanızın haksız olduğunu kanıtlayacak tüm belgeleri (iş sözleşmesi, bordrolar, yazışmalar, e-postalar, performans değerlendirmeleri, varsa kamera kayıtları, tanık bilgileri vb.) toplayın.
Arabuluculuğa Başvurun: İş Kanunu'na göre, işe iade davası açmadan önce zorunlu arabuluculuk sürecine başvurmanız gerekmektedir. İş sözleşmenizin feshedildiğine dair bildirimin size tebliğinden itibaren 1 ay içinde arabulucuya başvurmalısınız.
İşe İade Davası Açın: Arabuluculuk süreci sonucunda anlaşma sağlanamazsa, arabuluculuk son tutanağının düzenlendiği tarihten itibaren 2 hafta içinde işe iade davası açabilirsiniz. Bu dava, iş sözleşmenizin feshinin geçersizliğini ve işe iadenizi talep etmek içindir. (Bu hak, işyerinde 30 ve daha fazla işçi çalışıyorsa ve sizin en az 6 ay kıdeminiz varsa geçerlidir.)
Alacak Davası Açın: Eğer işe iade davası açma hakkınız yoksa veya açmak istemiyorsanız ya da işe iade davasını kazansanız bile işveren sizi işe başlatmazsa, kıdem tazminatı, ihbar tazminatı, fazla mesai, yıllık izin ücreti gibi işçilik alacaklarınız için doğrudan arabuluculuk sürecine başvurup anlaşma sağlanamazsa alacak davası açabilirsiniz.
"
isten_cikarma,İhbar tazminatı alabilir miyim? ,"Evet, eğer işveren sizi iş sözleşmesini feshederken kanunda belirtilen ihbar sürelerine uymadıysa ihbar tazminatı alabilirsiniz. İhbar tazminatı, belirsiz süreli iş sözleşmelerinin feshinde işverenin (veya işçinin) karşı tarafa bildirimde bulunmak zorunda olduğu sürelere uymaması halinde ödenen bir tazminattır. İhbar süreleri, işçinin kıdemine göre değişir:
6 aydan az kıdemi olan işçi için: 2 hafta
6 ay - 1,5 yıl arası kıdemi olan işçi için: 4 hafta
1,5 yıl - 3 yıl arası kıdemi olan işçi için: 6 hafta
3 yıldan fazla kıdemi olan işçi için: 8 hafta
İşveren, bu sürelere uymadan sizi işten çıkardıysa, size bu sürelere ilişkin ücretinizi ihbar tazminatı olarak ödemek zorundadır. Ancak, İş Kanunu m. 25'te belirtilen haklı nedenlerle derhal fesih durumunda (örneğin, işçinin hırsızlık yapması, ahlak ve iyi niyet kurallarına uymayan davranışları) işverenin ihbar tazminatı ödeme yükümlülüğü bulunmaz.
"
isten_cikarma,İşveren beni kod 29 ile işten çıkardı ,"""Kod 29"" terimi, Sosyal Güvenlik Kurumu'na (SGK) yapılan işten ayrılış bildiriminde, işten ayrılış nedenini belirten kodlardan biridir. Eskiden yaygın olarak kullanılan ""Kod 29"", ""İşveren tarafından işçinin ahlak ve iyi niyet kurallarına aykırı davranışı nedeni ile fesih"" anlamına geliyordu. Bu kod, işçinin kıdem ve ihbar tazminatı alamamasına ve işsizlik maaşından yararlanamamasına neden oluyordu.
Ancak 2021 yılında yapılan düzenlemeyle Kod 29 iptal edilmiş ve yerine, işten çıkarılma nedenini daha ayrıntılı belirten alt kodlar getirilmiştir. Örneğin, ""İşveren tarafından işçinin ahlak ve iyi niyet kurallarına uymayan halleri ve benzeri nedenlerle feshidir"" başlıklı madde kapsamındaki her bir alt madde için ayrı bir kod tanımlanmıştır.
Eğer işveren sizi bu tür bir kodla (eski Kod 29 veya yeni karşılığı olan ahlak ve iyi niyet kurallarına aykırılık kodlarından biriyle) işten çıkardıysa:
Hukuki İtibarınız Zarar Görebilir: Bu kodlar, işçinin hırsızlık, cinsel taciz, güveni kötüye kullanma gibi ciddi isnatlarla işten çıkarıldığını gösterir ve gelecekteki iş başvurularınızı olumsuz etkileyebilir.
Tazminat Haklarınızı Kaybedebilirsiniz: Yukarıda belirtildiği gibi, bu fesih nedeni kıdem ve ihbar tazminatına hak kazanamamanıza neden olur.
İşsizlik Maaşı Alamazsınız: İşçi, kendi kusurundan kaynaklı olarak işten çıkarıldığı için işsizlik maaşına da hak kazanamaz.
Yapmanız gereken: İşverenin ileri sürdüğü bu isnatların haksız olduğunu düşünüyorsanız, hemen işe iade davası veya işçilik alacakları davası açmalısınız. Bu davalarda, feshin gerçekten ahlak ve iyi niyet kurallarına aykırı bir nedene dayanmadığını ispatlamanız gerekir. Eğer davayı kazanırsanız, SGK kaydınızdaki işten çıkarılma nedeni de düzeltilecek ve haklarınızı (tazminat, işsizlik maaşı) alabileceksiniz.
"
depozito_iadesi,İşten çıkarılınca ne kadar sürede dava açabilirim? ,"İşten çıkarıldıktan sonra açabileceğiniz davaların süreleri, davanın türüne göre değişir:
İşe İade Davası: Fesih bildiriminin size tebliğ edildiği tarihten itibaren 1 ay içinde arabulucuya başvurulmalı, arabuluculuk sonucunda anlaşma sağlanamazsa arabuluculuk son tutanağının düzenlendiği tarihten itibaren 2 hafta içinde işe iade davası açılmalıdır. Bu süreler hak düşürücü olup, kaçırılması halinde dava açma hakkı kaybolur.
İşçilik Alacakları Davaları (Kıdem, İhbar, Fazla Mesai, Yıllık İzin vb.): Bu alacaklara ilişkin zamanaşımı süresi, 01.07.2012 tarihinden sonra feshedilen sözleşmeler için 5 yıldır. Ancak her bir alacağın kendi zamanaşımı başlangıcı farklılık gösterebilir (örneğin, yıllık izin ücreti alacağında zamanaşımı iş sözleşmesinin feshinden itibaren başlar). Bu davalar için de öncelikle zorunlu arabuluculuk şartı bulunmaktadır.
Bu sürelerin doğru tespiti ve takibi kritik öneme sahiptir. Hak kaybı yaşamamak adına bir avukata danışmanız şiddetle tavsiye edilir.

Umarım bu bilgiler, işten çıkarılma durumunda haklarınızı anlamanıza yardımcı olur. Başka sorularınız olursa lütfen çekinmeyin.
"
depozito_iadesi,Evden çıkınca depozitomu alamadım ,"Evden çıktığınız halde depozitonuzu alamadıysanız veya ev sahibi depozitoyu vermiyorsa, izlemeniz gereken hukuki adımlar şunlardır:
Yazılı İhtarname Gönderin: Öncelikle, noter aracılığıyla veya iadeli taahhütlü posta ile ev sahibine bir ihtarname göndererek depozitonun iadesini talep edin. İhtarnamede, evin hasarsız teslim edildiğini, kira borcunuz olmadığını ve depozitonun belirli bir süre içinde (örneğin 7 veya 15 gün) iade edilmesini talep edin. Bu, hukuki sürecin başlangıcı ve ev sahibini temerrüde düşürme açısından önemlidir.
Delil Toplayın: Evin tahliye edildiği tarihteki durumunu gösteren fotoğraflar, videolar, varsa tahliye tutanağı, kira sözleşmesi, depozito ödeme dekontu/banka dekontu gibi tüm belgeleri saklayın.
Dava Açın: İhtarnamenize rağmen depozito iade edilmezse, Sulh Hukuk Mahkemesi'nde ""depozito iadesi"" davası açmanız gerekmektedir. Bu davada, depozitoyu ödediğinizi ve evin hasarsız teslim edildiğini ispatlamanız önemlidir.
"
depozito_iadesi,Ev sahibi depozitoyu vermiyor ,"Türk Borçlar Kanunu'nda depozito iadesi için kesin bir süre belirtilmemiştir. Ancak yargı kararları ve yerleşik uygulama, kiralananın tahliyesinden sonra kiraya verenin olası hasar veya borçları tespit etmesi için ""makul bir süre"" tanımasını öngörür. Bu makul süre, genellikle 15 gün ile 30 gün arasında değişmektedir. Eğer bu süre içinde depozito iade edilmezse, ev sahibi temerrüde düşmüş sayılır ve kiracı yasal faiz talep etme hakkına sahip olur. "
depozito_iadesi,Depozito iadesi ne zaman yapılmalı? ,"Evin hasarsız teslim edildiğini düşünüyorsanız ve buna rağmen depozito ödenmiyorsa, bu durumu ispatlamak büyük önem taşır.
Tahliye Tutanağı: Evden çıkarken ev sahibi ile birlikte bir ""tahliye tutanağı"" düzenleyerek evin hasarsız teslim edildiğini ve herhangi bir borç bulunmadığını karşılıklı olarak imza altına almak en güçlü delildir.
Fotoğraf/Video Kayıtları: Evin tahliye edildiği gün çekilen detaylı fotoğraf ve video kayıtları, evin durumunu ispatlamada çok önemlidir.
Tanık Beyanları: Varsa, tahliye sırasında hazır bulunan ve evin durumuna şahit olan kişilerin tanıklığı da delil olarak kullanılabilir.
Bu delillerle birlikte yukarıda belirtilen hukuki adımları (ihtarname çekme ve dava açma) izlemelisiniz. Mahkeme, sunulan delilleri değerlendirerek evin hasarsız teslim edilip edilmediğine karar verecek ve buna göre depozito iadesine hükmedecektir. Eğer evde normal kullanımdan kaynaklanan aşınma ve yıpranmalar varsa, bunlar hasar olarak kabul edilmez ve depozitodan kesinti yapılamaz.

Depozito iadesi süreçleri, delil toplama ve hukuki prosedürlerin doğru işletilmesi açısından dikkat gerektirebilir. Bu nedenle, bir avukattan hukuki destek almanız faydalı olacaktır.
"
depozito_iadesi,Ev hasarsız teslim edildiği halde depozito ödenmedi ,"Evin hasarsız teslim edildiğini düşünüyorsanız ve buna rağmen depozito ödenmiyorsa, bu durumu ispatlamak büyük önem taşır.
Tahliye Tutanağı: Evden çıkarken ev sahibi ile birlikte bir ""tahliye tutanağı"" düzenleyerek evin hasarsız teslim edildiğini ve herhangi bir borç bulunmadığını karşılıklı olarak imza altına almak en güçlü delildir.
Fotoğraf/Video Kayıtları: Evin tahliye edildiği gün çekilen detaylı fotoğraf ve video kayıtları, evin durumunu ispatlamada çok önemlidir.
Tanık Beyanları: Varsa, tahliye sırasında hazır bulunan ve evin durumuna şahit olan kişilerin tanıklığı da delil olarak kullanılabilir.
Bu delillerle birlikte yukarıda belirtilen hukuki adımları (ihtarname çekme ve dava açma) izlemelisiniz. Mahkeme, sunulan delilleri değerlendirerek evin hasarsız teslim edilip edilmediğine karar verecek ve buna göre depozito iadesine hükmedecektir. Eğer evde normal kullanımdan kaynaklanan aşınma ve yıpranmalar varsa, bunlar hasar olarak kabul edilmez ve depozitodan kesinti yapılamaz.

Depozito iadesi süreçleri, delil toplama ve hukuki prosedürlerin doğru işletilmesi açısından dikkat gerektirebilir. Bu nedenle, bir avukattan hukuki destek almanız faydalı olacaktır.

"
evlilik_islemleri,Evlenmek için gerekli belgeler nelerdir? ,"
Evlenmek için belediyelerin evlendirme dairelerine veya nüfus müdürlüklerine başvururken çiftlerin sağlaması gereken temel belgeler şunlardır:
Nüfus Cüzdanı/Kimlik Kartı Aslı ve Fotokopisi: Güncel ve fotoğraflı olmalıdır.
Vukuatlı Nüfus Kayıt Örneği: Evlilik, boşanma, ölüm gibi medeni durum değişikliklerini ve hısımlık ilişkilerini gösteren detaylı nüfus kaydı belgesidir. Nüfus Müdürlüklerinden veya e-Devlet üzerinden alınabilir.
Sağlık Raporu: Evlenmeye engel bir hastalığın bulunmadığını gösteren, aile hekimleri veya devlet hastanelerinden alınan resmi sağlık raporu. Bu rapor, bulaşıcı hastalıklar, akıl hastalığı gibi evlenmeye engel durumların olup olmadığını tespit etmek içindir.
Fotoğraf: Genellikle son altı ay içinde çekilmiş, vesikalık formatında 4-6 adet fotoğraf istenir.
İkametgâh Belgesi: Başvurunun yapılacağı yerdeki ikameti gösteren belgedir.
Evlenme Beyannamesi: Evlendirme memurluğundan temin edilen ve çiftler tarafından doldurulan bir formdur.
Daha Önce Evlenmiş Olanlar İçin:
Boşanmış İse: Kesinleşmiş boşanma ilamı. Kadınlar için boşanmanın üzerinden 300 günlük iddet müddetinin geçmiş olması veya mahkeme kararıyla kaldırılmış olması gerekir.
Eşi Vefat Etmiş İse: Eşinin ölüm belgesi ve vukuatlı nüfus kayıt örneği.
"
evlilik_islemleri,Yurt dışında evlenme geçerli midir? ,"Evet, yurt dışında yapılan evlilikler, belirli şartlar altında Türkiye'de de geçerlidir. Yabancı bir ülkede yapılan evliliğin Türkiye'de geçerli sayılabilmesi için temel şartlar şunlardır:
Evliliğin Yapıldığı Ülke Hukukuna Göre Geçerlilik: Evliliğin, yapıldığı ülkenin evlenme şekil şartlarına ve usullerine uygun olarak yapılmış olması gerekir.
Maddi Şartlara Uygunluk: Evlenen kişilerin Türk vatandaşı olması durumunda, Türk hukukuna göre evlenme engellerinin (yaş, akıl sağlığı, hısımlık, mevcut evlilik gibi) bulunmaması gerekir.
Bildirim Yükümlülüğü: Yurt dışında evlenen Türk vatandaşlarının, evlendikleri tarihi izleyen otuz gün içinde evliliği dış temsilciliklere (büyükelçilik veya konsolosluk) bildirmeleri zorunludur. Bildirimin yapılmaması evliliğin geçerliliğini etkilemez ancak nüfus kayıtlarına işlenmesini geciktirir. Bildirim sonrası evlilik, Türkiye'deki nüfus kayıtlarına tescil edilir ve hukuken tanınır.
"
evlilik_islemleri,Resmi nikah ne zaman yapılabilir? ,"Resmi nikah (evlenme töreni), evlilik başvurusu yapıldıktan, gerekli belgeler tamamlandıktan ve evlendirme memurluğunca evlenme şartlarının uygun olduğu tespit edildikten sonra belirlenen bir tarihte ve yerde yapılabilir. Başvuru yapıldıktan sonra genellikle aynı gün veya birkaç gün içinde bir nikah tarihi belirlenebilir. Özellikle büyük şehirlerde evlendirme dairelerinin yoğunluğuna göre bu süre uzayabilir. Nikah töreni, evlendirme memuru ve en az iki şahidin huzurunda gerçekleştirilir. 
"
evlilik_islemleri,Evlilik başvurusu nasıl yapılır? ,"Evlilik başvurusu, evlenmek isteyen kadın ve erkeğin birlikte veya özel vekaletname ile yetkilendirdikleri vekilleri aracılığıyla yapılır. Başvuru süreci genellikle şu adımları içerir:
Evlendirme Dairesi Seçimi: Çiftlerden birinin ikamet ettiği yerdeki belediye evlendirme dairesine veya nüfus müdürlüğüne başvurulur.
Gerekli Belgelerin Temini: Yukarıda belirtilen tüm belgeler eksiksiz olarak toplanır.
Başvuru: Hazırlanan belgelerle birlikte evlendirme dairesine gidilerek başvuru formu doldurulur ve belgeler teslim edilir.
İnceleme: Evlendirme memurluğu, sunulan belgeleri ve evlenme şartlarını inceler. Eksik veya hatalı belge varsa düzeltilmesi istenir.
Nikah Tarihi Belirleme: Şartların uygun bulunması halinde, çiftin tercih ettiği ve evlendirme dairesinin programına uygun bir nikah tarihi belirlenir.
Nikah Töreni: Belirlenen tarih ve saatte, evlendirme memuru ve şahitler huzurunda nikah töreni gerçekleştirilir ve evlilik cüzdanı verilir.
"
depozito_iadesi,"Depozito banka hesabına yatırılmadıysa ve elden verildiği iddia ediliyorsa, kiracının ispat yükü ve yasal durumu ne olur? ","Depozitonun elden ödendiği durumlarda, kiracının ödemeyi yaptığını ispatlama yükü vardır. Türk hukukunda ispat serbestisi ilkesi geçerli olduğundan, kiracı bu ödemeyi yazılı bir belge (elden ödeme makbuzu, senet), tanık beyanları, mesajlaşmalar, e-postalar veya banka hesap hareketleri gibi dolaylı delillerle ispatlamaya çalışabilir. Yargıtay içtihatları, kira ilişkisinin devam ettiği sürede yapılan elden ödemelerin geçerli sayılabileceğini belirtmekle birlikte, ispat zorluğu nedeniyle her zaman banka havalesi veya resmi makbuz alınması önerilir. Aksi halde, ödeme yapılmadığı iddiasıyla karşılaşılabilir. Kaynak: Hukuk Muhakemeleri Kanunu (HMK) m. 190 ve Yargıtay içtihatları. "
